source,tag,model,n_params_approx,baseline_ppl,compressed_ppl,ratio,gptq_ref,margin_vs_gptq,beats_gptq,angular,bit_budget_bpw,block_cov,cone_aware,dampening,device_map,group_dim,group_size,hadamard,hessian_batches,ip_metric,lloyd_max,max_memory_headroom_gib,max_memory_per_gpu,niter,qjl,qjl_n_projections,rank,residual_bits,strict_sequential,tangent,use_compensation,whitening
results_v6\stat_grid\qwen2.5-0.5b\strict_damp005_rep0_seed42.json,strict_damp005_rep0_seed42,qwen2.5-0.5B,4.94e+08,14.9356,17.5323,1.17386,1.1407,-0.033162,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\qwen2.5-0.5b\strict_damp005_rep1_seed43.json,strict_damp005_rep1_seed43,qwen2.5-0.5B,4.94e+08,14.9356,17.4671,1.16949,1.1407,-0.028794,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\qwen2.5-0.5b\strict_damp005_rep2_seed44.json,strict_damp005_rep2_seed44,qwen2.5-0.5B,4.94e+08,14.9356,17.8769,1.19693,1.1407,-0.056234,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\qwen2.5-0.5b\strict_damp005_rep3_seed45.json,strict_damp005_rep3_seed45,qwen2.5-0.5B,4.94e+08,14.9356,17.6305,1.18044,1.1407,-0.039738,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\qwen2.5-0.5b\strict_damp006_rep0_seed42.json,strict_damp006_rep0_seed42,qwen2.5-0.5B,4.94e+08,14.9356,17.51,1.17237,1.1407,-0.031669,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\qwen2.5-0.5b\strict_damp006_rep1_seed43.json,strict_damp006_rep1_seed43,qwen2.5-0.5B,4.94e+08,14.9356,17.4656,1.1694,1.1407,-0.028696,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\qwen2.5-0.5b\strict_damp006_rep2_seed44.json,strict_damp006_rep2_seed44,qwen2.5-0.5B,4.94e+08,14.9356,17.8368,1.19425,1.1407,-0.053551,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\strict_damp004_rep0_seed42.json,strict_damp004_rep0_seed42,smollm-135M,1.35e+08,21.3072,25.415,1.19279,1.1761,-0.01669,0,0,4.2875,0,0,0.04,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\strict_damp004_rep1_seed43.json,strict_damp004_rep1_seed43,smollm-135M,1.35e+08,21.3072,25.4388,1.19391,1.1761,-0.017806,0,0,4.2875,0,0,0.04,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\strict_damp004_rep2_seed44.json,strict_damp004_rep2_seed44,smollm-135M,1.35e+08,21.3072,25.368,1.19059,1.1761,-0.014485,0,0,4.2875,0,0,0.04,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\strict_damp005_rep0_seed42.json,strict_damp005_rep0_seed42,smollm-135M,1.35e+08,21.3072,24.9779,1.17228,1.1761,0.003824,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\strict_damp005_rep1_seed43.json,strict_damp005_rep1_seed43,smollm-135M,1.35e+08,21.3072,25.1069,1.17833,1.1761,-0.002228,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
